net,length_um
net42,111.14µm
_026_,108.66µm
_000_,108.1µm
_069_,100.52µm
net12,99.21µm
clk,89.93µm
_059_,87.66µm
_060_,79.28µm
state\[1\],76.93µm
_062_,76.52µm
net33,74.12µm
clknet_2_0__leaf_clk_regs,69.96µm
clknet_2_1__leaf_clk_regs,68.56µm
net2,63.06µm
net34,61.4µm
clknet_0_clk_regs,60.69µm
state\[0\],58.02µm
_048_,56.08µm
state\[2\],54.2µm
net40,52.17µm
clknet_2_2__leaf_clk_regs,49.51µm
_030_,48.93µm
_054_,48.22µm
net17,47.98µm
_031_,45.78µm
net41,45.4µm
net25,44.34µm
net37,42.705µm
net15,42.38µm
net23,41.53µm
net31,40.24µm
net11,39.95µm
clknet_2_3__leaf_clk_regs,39.54µm
net10,39.43µm
net36,38.36µm
net35,36.94µm
net26,36.64µm
_034_,35.76µm
net38,35.655µm
state\[3\],35.5µm
_033_,34.98µm
_066_,32.28µm
net18,30.73µm
net30,29.68µm
_055_,27.28µm
net1,26.26µm
_063_,26.14µm
_061_,24.38µm
net16,22.27µm
net14,22.11µm
_050_,20.76µm
net9,20.46µm
net29,19.8µm
_067_,19.03µm
net5,18.89µm
_051_,18.7µm
net24,18.44µm
_049_,18.14µm
net8,16.91µm
net6,16.59µm
_046_,15.49µm
net32,15.46µm
_043_,14.96µm
_057_,14.52µm
net27,13.04µm
net20,12.87µm
net19,12.64µm
dac_n[7],12.14µm
net28,12.04µm
net4,12.03µm
net22,11.77µm
net7,11.43µm
net13,11.43µm
rst_n,11.34µm
_047_,11.33µm
:61.Y\[1\],10.94µm
net50,10.78µm
dout[0],10.75µm
net43,10.56µm
_007_,10.54µm
net21,9.93µm
_016_,9.9µm
_056_,9.78µm
clknet_1_0__leaf_clk,9.48µm
_005_,9.06µm
dac_p[0],8.96µm
eoc,8.69µm
net46,8.68µm
:61.Y\[0\],8.62µm
_021_,8.56µm
_028_,8.44µm
_045_,8.24µm
dac_n[0],8.04µm
dac_n[1],8.04µm
dac_n[2],8.04µm
dac_n[3],8.04µm
dac_n[4],8.04µm
dac_n[5],8.04µm
dac_n[6],8.04µm
dac_p[1],8.04µm
dac_p[2],8.04µm
dac_p[3],8.04µm
dac_p[4],8.04µm
dac_p[5],8.04µm
dac_p[6],8.04µm
dac_p[7],8.04µm
net3,7.98µm
_053_,7.74µm
_014_,7.64µm
_039_,7.36µm
net49,7.22µm
_058_,7.18µm
_032_,6.84µm
_015_,6.8µm
_003_,6.72µm
_040_,6.48µm
_068_,6.26µm
out_comp_p,5.97µm
clk_comp,5.97µm
_035_,5.92µm
_018_,5.68µm
_052_,5.44µm
_009_,5.38µm
_010_,5.34µm
_025_,5.34µm
_064_,5.34µm
net45,5.34µm
dout[1],5.29µm
dout[2],5.29µm
dout[3],5.29µm
dout[4],5.29µm
dout[6],5.29µm
clk_regs,5.1µm
_020_,4.92µm
_023_,4.88µm
net47,4.8µm
_065_,4.68µm
dout[7],4.61µm
_001_,4.58µm
_012_,4.46µm
_027_,4.42µm
_036_,4.36µm
net44,4.12µm
_006_,4µm
dout[5],3.93µm
phi_sample,3.93µm
phi_sample_n,3.93µm
net39,3.91µm
_022_,3.88µm
_024_,3.88µm
_004_,3.54µm
_044_,3.54µm
_002_,3.3µm
_070_,3.1µm
_013_,3.08µm
clknet_0_clk,2.96µm
_041_,2.86µm
_019_,2.62µm
_071_,2.52µm
_011_,2.16µm
_017_,2.16µm
_029_,2.06µm
_008_,1.84µm
net48,1.84µm
:61.Y\[3\],1.82µm
:61.Y\[2\],1.36µm
_037_,0.8µm
_042_,0.8µm
_038_,0.46µm
