Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_24_141,VPWR,li1,71.0700,78.8800,1.799978
FILLER_24_137,VPWR,li1,69.2300,78.8800,1.799979
FILLER_24_134,VPWR,li1,67.8500,78.8800,1.799979
FILLER_24_131,VPWR,li1,66.4700,78.8800,1.799980
FILLER_24_128,VPWR,li1,65.0900,78.8800,1.799980
FILLER_24_125,VPWR,li1,63.7100,78.8800,1.799981
FILLER_24_122,VPWR,li1,62.3300,78.8800,1.799981
FILLER_24_116,VPWR,li1,59.5700,78.8800,1.799982
FILLER_24_113,VPWR,li1,58.1900,78.8800,1.799983
FILLER_24_109,VPWR,li1,56.3500,78.8800,1.799984
FILLER_24_106,VPWR,li1,54.9700,78.8800,1.799984
FILLER_24_103,VPWR,li1,53.5900,78.8800,1.799985
FILLER_24_100,VPWR,li1,52.2100,78.8800,1.799985
FILLER_24_97,VPWR,li1,50.8300,78.8800,1.799986
FILLER_24_94,VPWR,li1,49.4500,78.8800,1.799986
FILLER_24_91,VPWR,li1,48.0700,78.8800,1.799987
FILLER_24_88,VPWR,li1,46.6900,78.8800,1.799987
FILLER_24_85,VPWR,li1,45.3100,78.8800,1.799988
FILLER_24_81,VPWR,li1,43.4700,78.8800,1.799989
FILLER_24_78,VPWR,li1,42.0900,78.8800,1.799989
FILLER_24_75,VPWR,li1,40.7100,78.8800,1.799990
FILLER_24_72,VPWR,li1,39.3300,78.8800,1.799990
FILLER_24_69,VPWR,li1,37.9500,78.8800,1.799991
FILLER_24_66,VPWR,li1,36.5700,78.8800,1.799991
FILLER_24_63,VPWR,li1,35.1900,78.8800,1.799992
FILLER_24_60,VPWR,li1,33.8100,78.8800,1.799992
FILLER_24_57,VPWR,li1,32.4300,78.8800,1.799993
FILLER_24_53,VPWR,li1,30.5900,78.8800,1.799993
FILLER_24_50,VPWR,li1,29.2100,78.8800,1.799993
FILLER_24_47,VPWR,li1,27.8300,78.8800,1.799994
FILLER_24_44,VPWR,li1,26.4500,78.8800,1.799994
FILLER_24_41,VPWR,li1,25.0700,78.8800,1.799996
FILLER_24_38,VPWR,li1,23.6900,78.8800,1.799996
FILLER_24_35,VPWR,li1,22.3100,78.8800,1.799996
FILLER_24_32,VPWR,li1,20.9300,78.8800,1.799996
FILLER_24_29,VPWR,li1,19.5500,78.8800,1.799996
FILLER_24_27,VPWR,li1,18.1700,78.8800,1.799996
FILLER_24_24,VPWR,li1,17.2500,78.8800,1.799996
FILLER_24_21,VPWR,li1,15.8700,78.8800,1.799996
FILLER_24_18,VPWR,li1,14.4900,78.8800,1.799996
FILLER_24_15,VPWR,li1,13.1100,78.8800,1.799996
FILLER_24_12,VPWR,li1,11.7300,78.8800,1.799996
FILLER_24_9,VPWR,li1,10.3500,78.8800,1.799996
FILLER_24_6,VPWR,li1,8.9700,78.8800,1.799996
FILLER_23_146,VPWR,li1,72.9100,73.4400,1.799995
FILLER_23_143,VPWR,li1,71.9900,73.4400,1.799995
FILLER_23_140,VPWR,li1,70.6100,73.4400,1.799995
FILLER_23_137,VPWR,li1,69.2300,73.4400,1.799995
FILLER_23_134,VPWR,li1,67.8500,73.4400,1.799995
FILLER_23_131,VPWR,li1,66.4700,73.4400,1.799995
FILLER_23_128,VPWR,li1,65.0900,73.4400,1.799995
FILLER_23_125,VPWR,li1,63.7100,73.4400,1.799995
FILLER_23_122,VPWR,li1,62.3300,73.4400,1.799995
FILLER_23_119,VPWR,li1,60.9500,73.4400,1.799996
FILLER_23_116,VPWR,li1,59.5700,73.4400,1.799996
FILLER_23_113,VPWR,li1,58.1900,73.4400,1.799996
FILLER_23_111,VPWR,li1,56.8100,73.4400,1.799996
FILLER_23_108,VPWR,li1,55.8900,73.4400,1.799996
FILLER_23_105,VPWR,li1,54.5100,73.4400,1.799996
FILLER_23_102,VPWR,li1,53.1300,73.4400,1.799996
FILLER_23_99,VPWR,li1,51.7500,73.4400,1.799996
FILLER_23_96,VPWR,li1,50.3700,73.4400,1.799996
FILLER_23_93,VPWR,li1,48.9900,73.4400,1.799996
FILLER_23_90,VPWR,li1,47.6100,73.4400,1.799996
