Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_21_122,VGND,li1,62.1000,70.7200,0.000018
FILLER_21_119,VGND,li1,60.9500,70.7200,0.000017
FILLER_21_116,VGND,li1,59.5700,70.7200,0.000017
FILLER_21_113,VGND,li1,58.1900,70.7200,0.000016
FILLER_21_110,VGND,li1,56.5800,70.7200,0.000015
FILLER_21_107,VGND,li1,55.4300,70.7200,0.000015
FILLER_21_103,VGND,li1,53.1300,70.7200,0.000015
FILLER_21_100,VGND,li1,52.2100,70.7200,0.000014
FILLER_21_97,VGND,li1,50.8300,70.7200,0.000014
FILLER_21_94,VGND,li1,49.4500,70.7200,0.000013
FILLER_21_91,VGND,li1,48.0700,70.7200,0.000013
FILLER_21_88,VGND,li1,46.6900,70.7200,0.000012
FILLER_21_85,VGND,li1,45.3100,70.7200,0.000012
FILLER_21_81,VGND,li1,43.4700,70.7200,0.000011
FILLER_21_78,VGND,li1,42.0900,70.7200,0.000010
FILLER_21_75,VGND,li1,40.7100,70.7200,0.000010
FILLER_21_72,VGND,li1,39.3300,70.7200,0.000009
FILLER_21_69,VGND,li1,37.9500,70.7200,0.000009
FILLER_21_66,VGND,li1,36.5700,70.7200,0.000008
FILLER_21_63,VGND,li1,35.1900,70.7200,0.000008
FILLER_21_60,VGND,li1,33.8100,70.7200,0.000007
FILLER_21_57,VGND,li1,32.4300,70.7200,0.000007
FILLER_21_53,VGND,li1,30.5900,70.7200,0.000006
FILLER_21_50,VGND,li1,29.2100,70.7200,0.000005
FILLER_21_47,VGND,li1,27.8300,70.7200,0.000005
FILLER_21_44,VGND,li1,26.4500,70.7200,0.000004
FILLER_21_41,VGND,li1,25.0700,70.7200,0.000004
FILLER_21_38,VGND,li1,23.6900,70.7200,0.000004
FILLER_21_35,VGND,li1,22.3100,70.7200,0.000004
FILLER_21_32,VGND,li1,20.9300,70.7200,0.000004
FILLER_21_29,VGND,li1,19.5500,70.7200,0.000004
FILLER_21_27,VGND,li1,18.1700,70.7200,0.000004
FILLER_21_24,VGND,li1,17.2500,70.7200,0.000004
FILLER_21_21,VGND,li1,15.8700,70.7200,0.000004
FILLER_21_18,VGND,li1,14.4900,70.7200,0.000004
FILLER_21_15,VGND,li1,13.1100,70.7200,0.000004
FILLER_21_12,VGND,li1,11.7300,70.7200,0.000004
FILLER_21_9,VGND,li1,10.3500,70.7200,0.000004
FILLER_20_106,VGND,li1,54.5100,65.2800,0.000030
FILLER_20_103,VGND,li1,53.5900,65.2800,0.000030
FILLER_20_100,VGND,li1,52.2100,65.2800,0.000029
FILLER_20_97,VGND,li1,50.8300,65.2800,0.000028
FILLER_20_94,VGND,li1,49.4500,65.2800,0.000028
FILLER_20_91,VGND,li1,48.0700,65.2800,0.000026
FILLER_20_88,VGND,li1,46.6900,65.2800,0.000026
FILLER_20_85,VGND,li1,45.3100,65.2800,0.000025
FILLER_20_81,VGND,li1,43.4700,65.2800,0.000023
FILLER_20_78,VGND,li1,42.0900,65.2800,0.000023
FILLER_20_75,VGND,li1,40.7100,65.2800,0.000021
FILLER_20_72,VGND,li1,39.3300,65.2800,0.000021
FILLER_20_65,VGND,li1,35.6500,65.2800,0.000018
FILLER_20_62,VGND,li1,34.7300,65.2800,0.000016
FILLER_20_59,VGND,li1,33.3500,65.2800,0.000016
FILLER_20_56,VGND,li1,31.9700,65.2800,0.000015
FILLER_20_53,VGND,li1,30.5900,65.2800,0.000013
FILLER_20_50,VGND,li1,29.2100,65.2800,0.000013
FILLER_20_47,VGND,li1,27.8300,65.2800,0.000012
FILLER_20_38,VGND,li1,23.2300,65.2800,0.000011
FILLER_20_35,VGND,li1,22.3100,65.2800,0.000011
FILLER_20_32,VGND,li1,20.9300,65.2800,0.000011
FILLER_20_29,VGND,li1,19.5500,65.2800,0.000012
FILLER_20_26,VGND,li1,17.9400,65.2800,0.000012
FILLER_20_23,VGND,li1,16.7900,65.2800,0.000012
FILLER_19_124,VGND,li1,63.2500,65.2800,0.000033
FILLER_19_121,VGND,li1,61.8700,65.2800,0.000033
FILLER_19_113,VGND,li1,58.1900,65.2800,0.000033
FILLER_19_111,VGND,li1,56.8100,65.2800,0.000032
FILLER_19_108,VGND,li1,55.8900,65.2800,0.000032
FILLER_19_105,VGND,li1,54.5100,65.2800,0.000030
FILLER_19_102,VGND,li1,53.1300,65.2800,0.000029
FILLER_19_99,VGND,li1,51.7500,65.2800,0.000029
FILLER_19_57,VGND,li1,32.4300,65.2800,0.000015
FILLER_19_55,VGND,li1,31.0500,65.2800,0.000015
FILLER_19_52,VGND,li1,30.1300,65.2800,0.000013
FILLER_19_46,VGND,li1,26.9100,65.2800,0.000012
FILLER_19_21,VGND,li1,15.6400,65.2800,0.000012
FILLER_19_18,VGND,li1,14.4900,65.2800,0.000012
FILLER_19_15,VGND,li1,13.1100,65.2800,0.000012
FILLER_19_12,VGND,li1,11.7300,65.2800,0.000012
FILLER_19_9,VGND,li1,10.3500,65.2800,0.000012
FILLER_19_6,VGND,li1,8.9700,65.2800,0.000012
FILLER_19_3,VGND,li1,7.5900,65.2800,0.000012
FILLER_18_126,VGND,li1,63.7100,59.8400,0.000020
